Public ID,Organization,Availability,System Name (Click + for details),Board Name,Host Processor Frequency,Software,Processor,Accelerator,Benchmark,Model MLC,Units,Avg. Result
1.0-9001,Greenwaves Technologies,Available Cloud,GAP9,GAP9 EVK,,GreenWaves GAPFlow,RISC-V Core (1+9),NE16 (1),Tiny,DSCNN,latency (ms),0.475
1.0-9001,Greenwaves Technologies,Available Cloud,GAP9,GAP9 EVK,,GreenWaves GAPFlow,RISC-V Core (1+9),NE16 (1),Tiny,DSCNN,Energy in uJ,26.659
1.0-9001,Greenwaves Technologies,Available Cloud,GAP9,GAP9 EVK,,GreenWaves GAPFlow,RISC-V Core (1+9),NE16 (1),Tiny,FC AutoEncoder,latency (ms),0.176
1.0-9001,Greenwaves Technologies,Available Cloud,GAP9,GAP9 EVK,,GreenWaves GAPFlow,RISC-V Core (1+9),NE16 (1),Tiny,FC AutoEncoder,Energy in uJ,7.294
1.0-9001,Greenwaves Technologies,Available Cloud,GAP9,GAP9 EVK,,GreenWaves GAPFlow,RISC-V Core (1+9),NE16 (1),Tiny,MobileNetV1 (0.25x),latency (ms),1.125
1.0-9001,Greenwaves Technologies,Available Cloud,GAP9,GAP9 EVK,,GreenWaves GAPFlow,RISC-V Core (1+9),NE16 (1),Tiny,MobileNetV1 (0.25x),Energy in uJ,58.356
1.0-9001,Greenwaves Technologies,Available Cloud,GAP9,GAP9 EVK,,GreenWaves GAPFlow,RISC-V Core (1+9),NE16 (1),Tiny,ResNet-V1,latency (ms),0.616
1.0-9001,Greenwaves Technologies,Available Cloud,GAP9,GAP9 EVK,,GreenWaves GAPFlow,RISC-V Core (1+9),NE16 (1),Tiny,ResNet-V1,Energy in uJ,40.356
1.0-9002,Greenwaves Technologies,Available Cloud,GAP9,GAP9 EVK,,GreenWaves GAPFlow,RISC-V Core (1+9),NE16 (1),Tiny,DSCNN,latency (ms),0.732
1.0-9002,Greenwaves Technologies,Available Cloud,GAP9,GAP9 EVK,,GreenWaves GAPFlow,RISC-V Core (1+9),NE16 (1),Tiny,DSCNN,Energy in uJ,18.561
1.0-9002,Greenwaves Technologies,Available Cloud,GAP9,GAP9 EVK,,GreenWaves GAPFlow,RISC-V Core (1+9),NE16 (1),Tiny,FC AutoEncoder,latency (ms),0.271
1.0-9002,Greenwaves Technologies,Available Cloud,GAP9,GAP9 EVK,,GreenWaves GAPFlow,RISC-V Core (1+9),NE16 (1),Tiny,FC AutoEncoder,Energy in uJ,5.252
1.0-9002,Greenwaves Technologies,Available Cloud,GAP9,GAP9 EVK,,GreenWaves GAPFlow,RISC-V Core (1+9),NE16 (1),Tiny,MobileNetV1 (0.25x),latency (ms),1.733
1.0-9002,Greenwaves Technologies,Available Cloud,GAP9,GAP9 EVK,,GreenWaves GAPFlow,RISC-V Core (1+9),NE16 (1),Tiny,MobileNetV1 (0.25x),Energy in uJ,40.801
1.0-9002,Greenwaves Technologies,Available Cloud,GAP9,GAP9 EVK,,GreenWaves GAPFlow,RISC-V Core (1+9),NE16 (1),Tiny,ResNet-V1,latency (ms),0.949
1.0-9002,Greenwaves Technologies,Available Cloud,GAP9,GAP9 EVK,,GreenWaves GAPFlow,RISC-V Core (1+9),NE16 (1),Tiny,ResNet-V1,Energy in uJ,27.711
1.0-9003,OctoML,Available Cloud,nRF5340,NRF5340DK,,microTVM using CMSIS-NN backend,Arm Cortex-M33,,Tiny,DSCNN,latency (ms),76.1
1.0-9003,OctoML,Available Cloud,nRF5340,NRF5340DK,,microTVM using CMSIS-NN backend,Arm Cortex-M33,,Tiny,FC AutoEncoder,latency (ms),6.27
1.0-9003,OctoML,Available Cloud,nRF5340,NRF5340DK,,microTVM using CMSIS-NN backend,Arm Cortex-M33,,Tiny,MobileNetV1 (0.25x),latency (ms),232
1.0-9003,OctoML,Available Cloud,nRF5340,NRF5340DK,,microTVM using CMSIS-NN backend,Arm Cortex-M33,,Tiny,ResNet-V1,latency (ms),316.1
1.0-9004,OctoML,Available Cloud,STM32L4R5ZIT6U,NUCLEO-L4R5ZI,,microTVM using CMSIS-NN backend,Arm Cortex-M4,,Tiny,DSCNN,latency (ms),99.8
