round,task,rows,rows_with_metric,share_metric
v0.5,AD,4,1,0.25
v0.5,IC,4,1,0.25
v0.5,KWS,5,1,0.2
v0.5,VWW,4,1,0.25
v0.7,AD,12,6,0.5
v0.7,IC,11,6,0.5454545454545454
v0.7,KWS,13,8,0.6153846153846154
v0.7,VWW,11,6,0.5454545454545454
v1.0,AD,14,8,0.5714285714285714
v1.0,IC,15,10,0.6666666666666666
v1.0,KWS,15,10,0.6666666666666666
v1.0,VWW,15,10,0.6666666666666666
v1.1,AD,23,8,0.34782608695652173
v1.1,IC,30,11,0.36666666666666664
v1.1,KWS,30,11,0.36666666666666664
v1.1,VWW,28,11,0.39285714285714285
v1.2,AD,22,3,0.13636363636363635
v1.2,IC,20,5,0.25
v1.2,KWS,14,5,0.35714285714285715
v1.2,VWW,17,5,0.29411764705882354
v1.3,AD,6,3,0.5
v1.3,IC,9,5,0.5555555555555556
v1.3,KWS,9,5,0.5555555555555556
v1.3,VWW,10,5,0.5
