round,task,_software_family,energy_uj_n,energy_uj_median,energy_uj_q10,energy_uj_q25,energy_uj_q75,energy_uj_q90,energy_uj_min,energy_uj_max,energy_uj_iqr,energy_uj_low_n
v0.5,AD,TFLM,1,416.312,416.312,416.312,416.312,416.312,416.312,416.312,0.0,True
v0.5,IC,TFLM,1,29207.0,29207.0,29207.0,29207.0,29207.0,29207.0,29207.0,0.0,True
v0.5,KWS,TFLM,1,7373.7,7373.7,7373.7,7373.7,7373.7,7373.7,7373.7,0.0,True
v0.5,VWW,TFLM,1,24320.8,24320.8,24320.8,24320.8,24320.8,24320.8,24320.8,0.0,True
v0.7,AD,CMSIS-NN,1,45.722,45.722,45.722,45.722,45.722,45.722,45.722,0.0,True
v0.7,AD,OTHER,1,45.722,45.722,45.722,45.722,45.722,45.722,45.722,0.0,True
v0.7,AD,TFLM,3,324.088,101.39520000000002,184.905,380.765,414.7712,45.722,437.442,195.85999999999999,True
v0.7,AD,X-CUBE-AI,3,349.03,191.85399999999998,250.795,390.12,414.774,152.56,431.21,139.32500000000002,True
v0.7,IC,CMSIS-NN,1,2248.02,2248.02,2248.02,2248.02,2248.02,2248.02,2248.02,0.0,True
v0.7,IC,OTHER,1,2248.02,2248.02,2248.02,2248.02,2248.02,2248.02,2248.02,0.0,True
v0.7,IC,TFLM,3,14350.9,4668.596,8299.46,16037.349999999999,17049.22,2248.02,17723.8,7737.889999999999,True
v0.7,IC,X-CUBE-AI,3,11200.2,5560.944,7675.665000000001,11749.25,12078.68,4151.13,12298.3,4073.584999999999,True
v0.7,KWS,CMSIS-NN,1,611.493,611.493,611.493,611.493,611.493,611.493,611.493,0.0,True
v0.7,KWS,OTHER,1,611.493,611.493,611.493,611.493,611.493,611.493,611.493,0.0,True
v0.7,KWS,Syntiant SDK/TDK,2,42.4365,36.716100000000004,38.86125,46.011750000000006,48.1569,35.286,49.587,7.150500000000008,True
v0.7,KWS,TFLM,3,3796.96,1248.5864000000001,2204.2264999999998,4109.82,4297.536,611.493,4422.68,1905.5935,True
v0.7,KWS,X-CUBE-AI,3,3713.19,1928.558,2597.795,4174.435,4451.182000000001,1482.4,4635.68,1576.6400000000003,True
v0.7,VWW,CMSIS-NN,1,1721.77,1721.77,1721.77,1721.77,1721.77,1721.77,1721.77,0.0,True
v0.7,VWW,OTHER,1,1721.77,1721.77,1721.77,1721.77,1721.77,1721.77,1721.77,0.0,True
v0.7,VWW,TFLM,3,11851.8,3747.776,6786.785,12584.099999999999,13023.48,1721.77,13316.4,5797.314999999999,True
v0.7,VWW,X-CUBE-AI,3,10487.7,5322.316000000001,7259.335,11390.5,11932.18,4030.97,12293.3,4131.165,True
v1.0,AD,CMSIS-NN,2,245.2415,86.88750000000002,146.27025,344.21275,403.5955,47.299,443.184,197.94250000000002,True
