round,task,_software_family,latency_us_n,latency_us_median,latency_us_q10,latency_us_q25,latency_us_q75,latency_us_q90,latency_us_min,latency_us_max,latency_us_iqr,latency_us_low_n
v0.5,AD,LEIP,2,180.3205,170.9033,174.43475,186.20625,189.73770000000002,168.549,192.092,11.771500000000003,True
v0.5,AD,TFLM,2,12025.0,10725.0,11212.5,12837.5,13325.0,10400.0,13650.0,1625.0,True
v0.5,IC,LEIP,2,1191.92,1095.576,1131.705,1252.135,1288.264,1071.49,1312.35,120.43000000000006,True
v0.5,IC,TFLM,2,971692.5,757718.5,837958.75,1105426.25,1185666.5,704225.0,1239160.0,267467.5,True
v0.5,KWS,LEIP,2,407.35,396.05400000000003,400.29,414.41,418.646,393.23,421.47,14.120000000000005,True
v0.5,KWS,OTHER,2,5950.0,5950.0,5950.0,5950.0,5950.0,5950.0,5950.0,0.0,True
v0.5,KWS,Syntiant SDK/TDK,1,5950.0,5950.0,5950.0,5950.0,5950.0,5950.0,5950.0,0.0,True
v0.5,KWS,TFLM,2,253773.5,196288.3,217845.25,289701.75,311258.7,181917.0,325630.0,71856.5,True
v0.5,VWW,LEIP,2,3172.385,2713.917,2885.8424999999997,3458.9275000000002,3630.853,2599.2999999999997,3745.4700000000003,573.0850000000005,True
v0.5,VWW,TFLM,2,724938.0,627496.4,664037.0,785839.0,822379.6,603136.0,846740.0,121802.0,True
v0.7,AD,CMSIS-NN,1,5410.0,5410.0,5410.0,5410.0,5410.0,5410.0,5410.0,0.0,True
v0.7,AD,OTHER,4,8770.0,4486.0,5080.0,13297.5,15399.0,4090.0,16800.0,8217.5,True
v0.7,AD,Plumerai,3,5900.0,3100.0,4150.0,6350.0,6620.0,2400.0,6800.0,2200.0,True
v0.7,AD,TFLM,6,6981.865,4351.57,4812.355,11235.932499999999,14465.0,4090.0,16800.0,6423.577499999999,False
v0.7,AD,X-CUBE-AI,3,5728.0,2970.4,4004.5,7696.5,8877.6,2281.0,9665.0,3692.0,True
v0.7,IC,CMSIS-NN,1,239980.0,239980.0,239980.0,239980.0,239980.0,239980.0,239980.0,0.0,True
v0.7,IC,OTHER,3,239980.0,230148.0,233835.0,272335.0,291748.0,227690.0,304690.0,38500.0,True
v0.7,IC,Plumerai,3,184600.0,89000.0,124850.0,193700.0,199160.0,65099.99999999999,202800.0,68850.0,True
v0.7,IC,TFLM,5,246184.0,232606.0,239980.0,289352.0,298554.8,227690.0,304690.0,49372.0,False
v0.7,IC,X-CUBE-AI,3,158127.0,87915.8,114245.0,205453.5,233849.4,70363.0,252780.0,91208.5,True
v0.7,KWS,CMSIS-NN,1,63090.0,63090.0,63090.0,63090.0,63090.0,63090.0,63090.0,0.0,True
v0.7,KWS,OTHER,3,68310.0,64134.0,65700.0,74080.0,77542.0,63090.0,79850.0,8380.0,True
v0.7,KWS,Plumerai,3,63600.0,28320.0,41550.0,68550.0,71520.0,19500.0,73500.0,27000.0,True
v0.7,KWS,Syntiant SDK/TDK,2,3050.0,2050.0,2425.0,3675.0,4050.0,1800.0,4300.0,1250.0,True
v0.7,KWS,TFLM,5,68310.0,55578.9,63090.0,79850.0,81047.9,50571.5,81846.5,16760.0,False
v0.7,KWS,X-CUBE-AI,3,54812.0,28794.4,38551.0,76229.0,89079.2,22290.0,97646.0,37678.0,True
v0.7,VWW,CMSIS-NN,1,186190.0,186190.0,186190.0,186190.0,186190.0,186190.0,186190.0,0.0,True
v0.7,VWW,OTHER,3,225580.0,194068.0,205885.0,260980.0,282220.0,186190.0,296380.0,55095.0,True
v0.7,VWW,Plumerai,3,200000.0,87520.0,129700.0,210200.0,216320.0,59400.0,220400.0,80500.0,True
v0.7,VWW,TFLM,5,225580.0,171894.4,186190.0,248509.0,277231.6,162364.0,296380.0,62319.0,False
v0.7,VWW,X-CUBE-AI,3,151630.0,81822.0,108000.0,203138.5,234043.6,64370.00000000001,254647.0,95138.5,True
v1.0,AD,CMSIS-NN,3,6270.0,5598.0,5850.0,7435.0,8134.0,5430.0,8600.0,1585.0,True
v1.0,AD,OTHER,3,271.0,195.0,223.5,2850.5,4398.200000000001,176.0,5430.0,2627.0,True
v1.0,AD,Plumerai,4,5250.0,3080.0,4250.0,5875.0,6370.0,2300.0,6700.0,1625.0,True
v1.0,AD,Qualcomm AI Stack,1,98.0,98.0,98.0,98.0,98.0,98.0,98.0,0.0,True
v1.0,AD,TFLM,1,5430.0,5430.0,5430.0,5430.0,5430.0,5430.0,5430.0,0.0,True
v1.0,AD,TVM,1,11700.0,11700.0,11700.0,11700.0,11700.0,11700.0,11700.0,0.0,True
v1.0,AD,X-CUBE-AI,3,4840.0,2424.0,3330.0,6205.0,7024.0,1820.0,7570.0,2875.0,True
v1.0,IC,CMSIS-NN,3,316100.0,159964.0,218515.0,352800.0,374820.0,120930.0,389500.0,134285.0,True
v1.0,IC,OTHER,3,949.0,682.6,782.5,60939.5,96933.8,616.0,120930.0,60157.0,True
v1.0,IC,Plumerai,4,140150.0,77490.0,96525.0,178175.0,187130.0,64800.0,193100.0,81650.0,True
v1.0,IC,Syntiant SDK/TDK,2,10545.0,6205.0,7832.5,13257.5,14885.0,5120.0,15970.0,5425.0,True
v1.0,IC,TFLM,1,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,120930.0,0.0,True
v1.0,IC,TVM,1,389200.0,389200.0,389200.0,389200.0,389200.0,389200.0,389200.0,0.0,True
v1.0,IC,X-CUBE-AI,3,139700.0,71412.0,97020.0,183300.0,209460.0,54340.0,226900.0,86280.0,True
v1.0,KWS,CMSIS-NN,3,76100.0,44244.0,56190.0,87950.0,95060.0,36280.0,99800.0,31760.0,True
v1.0,KWS,OTHER,3,732.0,526.4,603.5,18506.0,29170.4,475.0,36280.0,17902.5,True
v1.0,KWS,Plumerai,4,48400.0,23990.0,31325.0,63975.0,68610.0,19100.0,71700.0,32650.0,True
v1.0,KWS,Syntiant SDK/TDK,2,2925.0,1769.0,2202.5,3647.5,4081.0,1480.0,4370.0,1445.0,True
v1.0,KWS,TFLM,1,36280.0,36280.0,36280.0,36280.0,36280.0,36280.0,36280.0,0.0,True
v1.0,KWS,TVM,1,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,0.0,True
v1.0,KWS,X-CUBE-AI,3,44230.0,22254.0,30495.0,59640.0,68886.0,16760.0,75050.0,29145.0,True
v1.0,VWW,CMSIS-NN,3,232000.0,135688.0,171805.0,266600.0,287360.0,111610.0,301200.0,94795.0,True
