round,task,cluster_id,cluster_class,cluster_rank,rows,rows_total,share
v0.5,AD,1,C3,3,3,4,0.75
v0.5,AD,3,C5,5,1,4,0.25
v0.5,IC,1,C3,3,3,4,0.75
v0.5,IC,3,C5,5,1,4,0.25
v0.5,KWS,0,C2,2,1,5,0.2
v0.5,KWS,1,C3,3,3,5,0.6
v0.5,KWS,3,C5,5,1,5,0.2
v0.5,VWW,1,C3,3,3,4,0.75
v0.5,VWW,3,C5,5,1,4,0.25
v0.7,AD,0,C2,2,4,12,0.3333333333333333
v0.7,AD,1,C3,3,1,12,0.08333333333333333
v0.7,AD,3,C5,5,7,12,0.5833333333333334
v0.7,IC,0,C2,2,3,11,0.2727272727272727
v0.7,IC,1,C3,3,1,11,0.09090909090909091
v0.7,IC,3,C5,5,7,11,0.6363636363636364
v0.7,KWS,0,C2,2,5,13,0.38461538461538464
v0.7,KWS,1,C3,3,1,13,0.07692307692307693
v0.7,KWS,3,C5,5,7,13,0.5384615384615384
v0.7,VWW,0,C2,2,3,11,0.2727272727272727
v0.7,VWW,1,C3,3,1,11,0.09090909090909091
v0.7,VWW,3,C5,5,7,11,0.6363636363636364
v1.0,AD,0,C2,2,4,14,0.2857142857142857
v1.0,AD,3,C5,5,10,14,0.7142857142857143
v1.0,IC,0,C2,2,5,15,0.3333333333333333
v1.0,IC,3,C5,5,10,15,0.6666666666666666
v1.0,KWS,0,C2,2,5,15,0.3333333333333333
v1.0,KWS,3,C5,5,10,15,0.6666666666666666
v1.0,VWW,0,C2,2,5,15,0.3333333333333333
v1.0,VWW,3,C5,5,10,15,0.6666666666666666
v1.1,AD,5,C4,4,8,23,0.34782608695652173
v1.1,AD,2,C6,6,15,23,0.6521739130434783
v1.1,IC,4,C1,1,3,30,0.1
v1.1,IC,0,C2,2,2,30,0.06666666666666667
v1.1,IC,5,C4,4,8,30,0.26666666666666666
v1.1,IC,2,C6,6,17,30,0.5666666666666667
v1.1,KWS,4,C1,1,3,30,0.1
v1.1,KWS,0,C2,2,2,30,0.06666666666666667
v1.1,KWS,5,C4,4,8,30,0.26666666666666666
v1.1,KWS,2,C6,6,17,30,0.5666666666666667
v1.1,VWW,4,C1,1,2,28,0.07142857142857142
v1.1,VWW,0,C2,2,3,28,0.10714285714285714
v1.1,VWW,5,C4,4,8,28,0.2857142857142857
v1.1,VWW,2,C6,6,15,28,0.5357142857142857
v1.2,AD,0,C2,2,1,22,0.045454545454545456
v1.2,AD,1,C3,3,18,22,0.8181818181818182
v1.2,AD,5,C4,4,1,22,0.045454545454545456
v1.2,AD,2,C6,6,2,22,0.09090909090909091
v1.2,IC,0,C2,2,3,20,0.15
v1.2,IC,1,C3,3,13,20,0.65
v1.2,IC,5,C4,4,2,20,0.1
v1.2,IC,2,C6,6,2,20,0.1
v1.2,KWS,0,C2,2,3,14,0.21428571428571427
v1.2,KWS,1,C3,3,8,14,0.5714285714285714
v1.2,KWS,5,C4,4,1,14,0.07142857142857142
v1.2,KWS,2,C6,6,2,14,0.14285714285714285
v1.2,VWW,0,C2,2,4,17,0.23529411764705882
v1.2,VWW,1,C3,3,9,17,0.5294117647058824
v1.2,VWW,5,C4,4,2,17,0.11764705882352941
v1.2,VWW,2,C6,6,2,17,0.11764705882352941
v1.3,AD,0,C2,2,1,6,0.16666666666666666
v1.3,AD,1,C3,3,2,6,0.3333333333333333
v1.3,AD,2,C6,6,3,6,0.5
v1.3,IC,0,C2,2,4,9,0.4444444444444444
v1.3,IC,1,C3,3,2,9,0.2222222222222222
v1.3,IC,2,C6,6,3,9,0.3333333333333333
v1.3,KWS,0,C2,2,4,9,0.4444444444444444
v1.3,KWS,1,C3,3,2,9,0.2222222222222222
v1.3,KWS,2,C6,6,3,9,0.3333333333333333
v1.3,VWW,0,C2,2,5,10,0.5
v1.3,VWW,1,C3,3,2,10,0.2
v1.3,VWW,2,C6,6,3,10,0.3
