round,task,energy_uj_n,energy_uj_median,energy_uj_q10,energy_uj_q25,energy_uj_q75,energy_uj_q90,energy_uj_min,energy_uj_max,energy_uj_iqr,energy_uj_low_n,baseline_round,baseline_n,baseline_median,energy_uj_median_index,energy_uj_q25_index,energy_uj_q75_index,energy_uj_q10_index,energy_uj_q90_index,pre_baseline
v0.5,AD,1,416.312,416.312,416.312,416.312,416.312,416.312,416.312,0.0,True,v0.7,6,336.55899999999997,,,,,,True
v0.5,IC,1,29207.0,29207.0,29207.0,29207.0,29207.0,29207.0,29207.0,0.0,True,v0.7,6,11749.25,,,,,,True
v0.5,KWS,1,7373.7,7373.7,7373.7,7373.7,7373.7,7373.7,7373.7,0.0,True,v0.7,8,2597.795,,,,,,True
v0.5,VWW,1,24320.8,24320.8,24320.8,24320.8,24320.8,24320.8,24320.8,0.0,True,v0.7,6,11169.75,,,,,,True
v0.7,AD,6,336.55899999999997,99.141,195.442,410.66499999999996,434.326,45.722,437.442,215.22299999999996,False,v0.7,6,336.55899999999997,1.0,0.5807065031688352,1.2201872480010933,0.2945724226658625,1.2904899289574787,False
v0.7,IC,6,11749.25,3199.575,5913.3975,13837.75,16037.349999999999,2248.02,17723.8,7924.3525,False,v0.7,6,11749.25,1.0,0.5032999978722046,1.1777560269804455,0.27232163755133304,1.3649679766793623,False
v0.7,KWS,8,2597.795,45.2967,471.01650000000006,3953.3900000000003,4486.58,35.286,4635.68,3482.3735,False,v0.7,8,2597.795,1.0,0.18131396049341847,1.521825240251829,0.017436595266370133,1.7270723825398078,False
v0.7,VWW,6,11169.75,2876.37,5645.1525,12182.925,12804.849999999999,1721.77,13316.4,6537.772499999999,False,v0.7,6,11169.75,1.0,0.5053964949976499,1.0907070435775197,0.25751426844826425,1.1463864455336958,False
v1.0,AD,8,192.7995,6.6814,37.29775,353.02875,500.349,5.252,633.734,315.731,False,v0.7,6,336.55899999999997,0.5728549823359352,0.11082083676264787,1.0489356992384695,0.019852091312370194,1.4866605855139814,False
v1.0,IC,10,2438.325,39.0915,111.215,10188.02,20346.899999999998,27.711,21342.3,10076.805,False,v0.7,6,11749.25,0.20753026788943973,0.00946571057727089,0.8671208800561738,0.0033271485413962597,1.7317616018043702,False
v1.0,KWS,10,770.1955,25.8492,34.605,3209.25,5502.294,18.561,7950.51,3174.645,False,v0.7,8,2597.795,0.29648047671198074,0.013320912543137544,1.235374615779921,0.009950438737467737,2.118063203601516,False
v1.0,VWW,10,2251.84,56.600500000000004,78.07249999999999,9544.567500000001,15691.419999999998,40.801,17131.6,9466.495,False,v0.7,6,11169.75,0.2016016473063408,0.0069896371897311925,0.8545014436312363,0.005067302312048166,1.4048138946708744,False
v1.1,AD,8,314.224,191.28570000000002,232.15425000000002,439.5,529.02,121.446,529.3,207.34574999999998,False,v0.7,6,336.55899999999997,0.9336371928844571,0.6897876746721973,1.3058631621795882,0.5683571082633359,1.5718492151450416,False
v1.1,IC,11,7615.4,139.367,4847.255,13805.8,17315.1,101.833,17755.4,8958.544999999998,False,v0.7,6,11749.25,0.6481605208843118,0.41255867395791224,1.1750367044704981,0.01186177841138796,1.4737195991233483,False
v1.1,KWS,11,2367.47,43.802,1436.8000000000002,4101.375,5481.6,31.537,5627.5,2664.575,False,v0.7,8,2597.795,0.9113382695709245,0.5530844427678089,1.5787908591709507,0.01686122269078199,2.110097217062932,False
v1.1,VWW,11,6928.3,97.164,2809.995,9111.75,16536.3,71.711,16573.1,6301.755,False,v0.7,6,11169.75,0.6202735065690816,0.25157187940643255,0.815752366883771,0.008698851809574968,1.4804539045189014,False
v1.2,AD,3,165.73,98.64999999999999,123.80499999999999,184.55,195.842,81.88,203.37,60.74500000000002,True,v0.7,6,336.55899999999997,0.4924248051604622,0.367855264604423,0.548343678225809,0.2931135402707995,0.5818950020650169,False
v1.2,IC,5,2578.97,116.846,139.37,5090.28,6187.74,101.83,6919.38,4950.91,False,v0.7,6,11749.25,0.2195008192012256,0.011862033746834904,0.43324297295572056,0.009944975211183692,0.5266497861565632,False
v1.2,KWS,5,656.16,36.444,43.8,1375.6,1642.51,31.54,1820.45,1331.8,False,v0.7,8,2597.795,0.25258344095665747,0.016860452807092165,0.529526001859269,0.01402882059592847,0.6322708296844054,False
v1.2,VWW,5,1354.69,81.89,97.16,2965.46,3522.9260000000004,71.71,3894.57,2868.3,False,v0.7,6,11169.75,0.1212820340652208,0.008698493699500884,0.26549027507330064,0.007331408491685132,0.31539882271313147,False
v1.3,AD,3,77.2364,40.915040000000005,54.53555,118.8297,143.78568,31.8347,160.423,64.29415,True,v0.7,6,336.55899999999997,0.22948844036261104,0.162038602444148,0.3530724182089916,0.12156869969307019,0.42722280491682,False
v1.3,IC,5,965.582,116.8466,139.367,2565.24,4323.642,101.833,5495.91,2425.8729999999996,False,v0.7,6,11749.25,0.08218243717684108,0.01186177841138796,0.2183322339723812,0.00994502627827308,0.36799302083111685,False
v1.3,KWS,5,245.341,36.443,43.802,664.424,1124.1716000000001,31.537,1430.67,620.622,False,v0.7,8,2597.795,0.0944420171722557,0.01686122269078199,0.25576460036300014,0.014028435654083559,0.43274068970030355,False
v1.3,VWW,5,518.976,81.8922,97.164,1372.17,2366.7180000000003,71.711,3029.75,1275.006,False,v0.7,6,11169.75,0.046462633451957294,0.008698851809574968,0.12284697508896798,0.007331605452225878,0.21188638957899686,False
