round,task,latency_us_n,latency_us_median,latency_us_q10,latency_us_q25,latency_us_q75,latency_us_q90,latency_us_min,latency_us_max,latency_us_iqr,latency_us_low_n
v0.5,AD,4,5296.046,175.61190000000002,186.20625,11212.5,12675.0,168.549,13650.0,11026.29375,True
v0.5,IC,4,352768.675,1143.748,1252.135,837958.75,1078679.5,1071.49,1239160.0,836706.615,True
v0.5,KWS,5,5950.0,404.526,421.47,181917.0,268144.8,393.23,325630.0,181495.53,False
v0.5,VWW,4,303440.735,2943.151,3458.9275000000002,664037.0,773658.8,2599.2999999999997,846740.0,660578.0725,True
v0.7,AD,12,5814.0,2569.0,4482.355,8831.5475,11883.5,2281.0,16800.0,4349.192500000001,False
v0.7,IC,11,227690.0,70363.0,171363.5,249482.0,289352.0,65099.99999999999,304690.0,78118.5,False
v0.7,KWS,13,63090.0,7340.000000000003,22290.0,73500.0,81447.2,1800.0,97646.0,51210.0,False
v0.7,VWW,11,200000.0,64370.00000000001,156997.0,237044.5,254647.0,59400.0,296380.0,80047.5,False
v1.0,AD,14,5165.0,204.5,1940.0,6592.5,8291.000000000002,98.0,11700.0,4652.5,False
v1.0,IC,15,120930.0,2617.4000000000005,35155.0,210000.0,359960.0,616.0,389500.0,174845.0,False
v1.0,KWS,15,36280.0,1031.2,10565.0,73375.0,90319.99999999999,475.0,144000.0,62810.0,False
v1.0,VWW,15,111610.0,2679.8,31700.0,219540.0,273520.0,1125.0,336500.0,187840.0,False
v1.1,AD,23,4849.87,1703.85,1823.21,7600.0,8498.498000000001,1347.71,46546.3,5776.79,False
v1.1,IC,30,147981.0,4904.959000000001,52420.75,279175.0,389146.0,147.285,1669450.0,226754.25,False
v1.1,KWS,30,42960.649999999994,4005.203000000001,15614.9,76040.775,104256.27000000006,323.846,679348.0,60425.87499999999,False
v1.1,VWW,28,85143.95,7870.613000000001,32966.975000000006,184997.5,253575.20000000004,370.0,1869160.0,152030.525,False
v1.2,AD,22,4265.0,585.0,1375.0,5790.0,7314.000000000003,70.0,40890.0,4415.0,False
v1.2,IC,20,109535.0,8144.0,38972.5,168982.5,257577.00000000035,150.0,1522070.0,130010.0,False
v1.2,KWS,14,24010.0,2074.0,6107.5,51410.0,62603.0,90.0,474610.0,45302.5,False
v1.2,VWW,17,59280.0,2576.0,13390.0,120280.0,252554.00000000006,190.0,1414430.0,106890.0,False
v1.3,AD,6,1973.288,192.2896,421.43125000000003,4397.625,5101.72,68.3762,5409.76,3976.19375,False
v1.3,IC,9,15975.0,800.9640400000001,2282.79,109493.0,169028.0,95.81620000000001,182448.0,107210.21,False
v1.3,KWS,9,4367.16,474.1735,1394.1200000000001,28994.800000000003,44394.76,64.9515,48302.2,27600.680000000004,False
v1.3,VWW,10,8585.53,206.02370000000002,2662.3925,53744.100000000006,90367.27999999998,114.248,98736.2,51081.707500000004,False
