round,task,cpu_freq_bucket,latency_us_n,latency_us_median,latency_us_q10,latency_us_q25,latency_us_q75,latency_us_q90,latency_us_min,latency_us_max,latency_us_iqr,latency_us_low_n
v0.5,AD,UNKNOWN,4,5296.046,175.61190000000002,186.20625,11212.5,12675.0,168.549,13650.0,11026.29375,True
v0.5,IC,UNKNOWN,4,352768.675,1143.748,1252.135,837958.75,1078679.5,1071.49,1239160.0,836706.615,True
v0.5,KWS,UNKNOWN,5,5950.0,404.526,421.47,181917.0,268144.8,393.23,325630.0,181495.53,False
v0.5,VWW,UNKNOWN,4,303440.735,2943.151,3458.9275000000002,664037.0,773658.8,2599.2999999999997,846740.0,660578.0725,True
v0.7,AD,UNKNOWN,12,5814.0,2569.0,4482.355,8831.5475,11883.5,2281.0,16800.0,4349.192500000001,False
v0.7,IC,UNKNOWN,11,227690.0,70363.0,171363.5,249482.0,289352.0,65099.99999999999,304690.0,78118.5,False
v0.7,KWS,UNKNOWN,13,63090.0,7340.000000000003,22290.0,73500.0,81447.2,1800.0,97646.0,51210.0,False
v0.7,VWW,UNKNOWN,11,200000.0,64370.00000000001,156997.0,237044.5,254647.0,59400.0,296380.0,80047.5,False
v1.0,AD,UNKNOWN,14,5165.0,204.5,1940.0,6592.5,8291.000000000002,98.0,11700.0,4652.5,False
v1.0,IC,UNKNOWN,15,120930.0,2617.4000000000005,35155.0,210000.0,359960.0,616.0,389500.0,174845.0,False
v1.0,KWS,UNKNOWN,15,36280.0,1031.2,10565.0,73375.0,90319.99999999999,475.0,144000.0,62810.0,False
v1.0,VWW,UNKNOWN,15,111610.0,2679.8,31700.0,219540.0,273520.0,1125.0,336500.0,187840.0,False
v1.1,AD,100-199,14,6572.935,3877.1549999999997,4553.8825,7900.0,8445.267000000002,3671.92,11700.0,3346.1175000000003,False
v1.1,AD,200-399,8,1754.405,1353.744,1616.04,1820.74,2745.7299999999996,1347.71,4886.75,204.70000000000005,False
v1.1,AD,<100,1,46546.3,46546.3,46546.3,46546.3,46546.3,46546.3,46546.3,0.0,True
v1.1,IC,100-199,16,224450.0,122974.5,176203.5,335673.0,389330.0,104286.0,389560.0,159469.5,False
v1.1,IC,200-399,8,54369.350000000006,49698.37,51692.8,61895.925,95445.50999999998,46831.8,171438.0,10203.125,False
v1.1,IC,<100,3,15975.0,7275.0,10537.5,842712.5,1338755.0,5100.0,1669450.0,832175.0,True
v1.1,IC,>=400,3,411.28,200.084,279.28249999999997,1780.435,2601.928,147.285,3149.5899999999997,1501.1525,True
v1.1,KWS,100-199,16,73700.0,39158.2,52492.25,95152.6,121920.15,30042.7,144000.0,42660.350000000006,False
v1.1,KWS,200-399,8,16562.9,14459.29,15193.75,17916.475,26748.549999999996,13861.7,46185.1,2722.7249999999985,False
v1.1,KWS,<100,3,4367.16,2073.432,2933.58,341857.58,544351.832,1500.0,679348.0,338924.0,True
v1.1,KWS,>=400,3,2151.05,689.2868000000001,1237.448,3181.135,3799.186,323.846,4211.22,1943.6870000000001,True
v1.1,VWW,100-199,14,176453.0,79719.76000000001,109906.25,223950.0,280584.80000000005,59491.9,338900.0,114043.75,False
v1.1,VWW,200-399,8,46980.0,28785.2,32966.975000000006,52101.225,69643.91999999998,26816.8,98726.4,19134.249999999993,False
v1.1,VWW,<100,4,8411.3,1489.0000000000002,3167.5,476831.94999999995,1312228.7800000003,370.0,1869160.0,473664.44999999995,True
v1.1,VWW,>=400,2,5103.4490000000005,1596.9362,2911.8785,7295.0195,8609.961800000001,720.308,9486.59,4383.1410000000005,True
v1.2,AD,100-199,9,4930.0,3362.0,3800.0,5840.0,8132.000000000002,3090.0,16780.0,2040.0,False
v1.2,AD,200-399,9,1710.0,1200.0,1360.0,5640.0,6432.0,1080.0,7440.0,4280.0,False
v1.2,AD,<100,1,40890.0,40890.0,40890.0,40890.0,40890.0,40890.0,40890.0,0.0,True
v1.2,AD,>=400,3,370.0,130.0,220.0,450.0,498.0,70.0,530.0,230.0,True
v1.2,IC,100-199,6,163670.0,115805.0,130957.5,176687.5,330195.0,111070.0,479850.0,45730.0,False
v1.2,IC,200-399,8,96255.0,44347.0,58375.0,148782.5,225593.0,40840.0,232880.0,90407.5,False
v1.2,IC,<100,3,15970.0,7290.0,10545.0,769020.0,1220850.0,5120.0,1522070.0,758475.0,True
