round,task,processor_family,latency_us_n,latency_us_median,latency_us_q10,latency_us_q25,latency_us_q75,latency_us_q90,latency_us_min,latency_us_max,latency_us_iqr,latency_us_low_n
v0.5,AD,Cortex-M,1,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,0.0,True
v0.5,AD,OTHER,3,192.092,173.2576,180.3205,6921.046,10958.4184,168.549,13650.0,6740.7255000000005,True
v0.5,IC,Cortex-M,1,704225.0,704225.0,704225.0,704225.0,704225.0,704225.0,704225.0,0.0,True
v0.5,IC,OTHER,3,1312.35,1119.662,1191.92,620236.175,991590.4700000001,1071.49,1239160.0,619044.255,True
v0.5,KWS,Cortex-M,2,93933.5,23546.7,49941.75,137925.25,164320.3,5950.0,181917.0,87983.5,True
v0.5,KWS,OTHER,3,421.47,398.87800000000004,407.35,163025.735,260588.294,393.23,325630.0,162618.38499999998,True
v0.5,VWW,Cortex-M,1,603136.0,603136.0,603136.0,603136.0,603136.0,603136.0,603136.0,0.0,True
v0.5,VWW,OTHER,3,3745.4700000000003,2828.5339999999997,3172.385,425242.735,678141.094,2599.2999999999997,846740.0,422070.35,True
v0.7,AD,Cortex-M,8,5569.0,2364.3,4059.8549999999996,6125.0,7659.5,2281.0,9665.0,2065.1450000000004,False
v0.7,AD,OTHER,4,10341.865,5429.119000000001,7437.7975,13297.5,15399.0,4090.0,16800.0,5859.7025,True
v0.7,IC,Cortex-M,8,193700.0,68784.09999999999,136186.0,241531.0,248162.8,65099.99999999999,252780.0,105345.0,False
v0.7,IC,OTHER,3,289352.0,240022.4,258521.0,297021.0,301622.4,227690.0,304690.0,38500.0,True
v0.7,KWS,Cortex-M,8,58951.0,21453.0,43501.125,66075.0,80743.79999999999,19500.0,97646.0,22573.875,False
v0.7,KWS,OTHER,5,68310.0,2800.0,4300.0,79850.0,81047.9,1800.0,81846.5,75550.0,False
v0.7,VWW,Cortex-M,8,174277.0,62879.00000000001,129815.0,205100.0,230674.1,59400.0,254647.0,75285.0,False
