round,task,energy_uj_median_true,energy_uj_median_false,energy_uj_n_true,energy_uj_n_false,energy_uj_delta_true_minus_false,energy_uj_ratio_true_over_false
v0.5,AD,,416.312,,1.0,,
v0.5,IC,,29207.0,,1.0,,
v0.5,KWS,,7373.7,,1.0,,
v0.5,VWW,,24320.8,,1.0,,
v0.7,AD,45.722,349.03,1.0,5.0,-303.308,0.13099733547259548
v0.7,IC,2248.02,12298.3,1.0,5.0,-10050.279999999999,0.18279111747152046
v0.7,KWS,49.587,3796.96,3.0,5.0,-3747.373,0.013059658252918124
v0.7,VWW,1721.77,11851.8,1.0,5.0,-10130.029999999999,0.14527497932803457
v1.0,AD,7.294,322.977,3.0,5.0,-315.683,0.022583651467441953
v1.0,IC,101.83,10681.6,5.0,5.0,-10579.77,0.009533215997603355
v1.0,KWS,31.54,3371.74,5.0,5.0,-3340.2,0.009354220669446637
v1.0,VWW,71.71,10066.6,5.0,5.0,-9994.890000000001,0.007123557109649732
v1.1,AD,,314.224,,8.0,,
v1.1,IC,120.6,8471.1,2.0,9.0,-8350.5,0.01423663986967454
v1.1,KWS,37.6695,2833.14,2.0,9.0,-2795.4705,0.013296024905228828
v1.1,VWW,84.4375,7477.62,2.0,9.0,-7393.1825,0.011292028747114723
v1.2,AD,,165.73,,3.0,,
v1.2,IC,120.6,5090.28,2.0,3.0,-4969.679999999999,0.023692213394940945
v1.2,KWS,37.67,1375.6,2.0,3.0,-1337.9299999999998,0.027384414073858682
v1.2,VWW,84.435,2965.46,2.0,3.0,-2881.025,0.028472817033445064
v1.3,AD,,77.2364,,3.0,,
v1.3,IC,120.6,2565.24,2.0,3.0,-2444.64,0.0470131449688918
v1.3,KWS,37.6695,664.424,2.0,3.0,-626.7545,0.056694971885422565
v1.3,VWW,84.4375,1372.17,2.0,3.0,-1287.7325,0.061535742655793375
