round,task,latency_us_median_true,latency_us_median_false,latency_us_n_true,latency_us_n_false,latency_us_delta_true_minus_false,latency_us_ratio_true_over_false
v0.5,AD,,5296.046,,4.0,,
v0.5,IC,,352768.675,,4.0,,
v0.5,KWS,5950.0,91169.235,1.0,4.0,-85219.235,0.06526324368083158
v0.5,VWW,,303440.735,,4.0,,
v0.7,AD,8770.0,5814.0,4.0,8.0,2956.0,1.5084279325765393
v0.7,IC,239980.0,193700.0,3.0,8.0,46280.0,1.2389261744966442
v0.7,KWS,63090.0,59206.0,5.0,8.0,3884.0,1.0656014593115564
v0.7,VWW,225580.0,181182.0,3.0,8.0,44398.0,1.2450464174145335
v1.0,AD,223.5,5935.0,4.0,10.0,-5711.5,0.037657961246840774
v1.0,IC,5120.0,183150.0,5.0,10.0,-178030.0,0.027955227955227955
v1.0,KWS,1480.0,66550.0,5.0,10.0,-65070.0,0.0222389181066867
v1.0,VWW,4100.0,200550.0,5.0,10.0,-196450.0,0.020443779606083273
v1.1,AD,,4849.87,,23.0,,
v1.1,IC,3149.5899999999997,179019.0,5.0,25.0,-175869.41,0.01759360738245661
v1.1,KWS,2151.05,54062.8,5.0,25.0,-51911.75,0.03978798730365427
v1.1,VWW,4100.0,108295.0,5.0,23.0,-104195.0,0.0378595503024147
v1.2,AD,70.0,4730.0,1.0,21.0,-4660.0,0.014799154334038054
v1.2,IC,5120.0,120540.0,3.0,17.0,-115420.0,0.04247552679608429
v1.2,KWS,1480.0,38580.0,3.0,11.0,-37100.0,0.0383618455158113
v1.2,VWW,2195.0,88930.0,4.0,13.0,-86735.0,0.024682334420330597
v1.3,AD,68.3762,3209.46,1.0,5.0,-3141.0838,0.0213045808329127
v1.3,IC,10548.475,109493.0,4.0,5.0,-98944.525,0.09633926369722266
v1.3,KWS,2924.295,28994.800000000003,4.0,5.0,-26070.505000000005,0.10085584311669678
v1.3,VWW,4100.33,59266.3,5.0,5.0,-55165.97,0.06918484872516084
