round,task,rows_total,rows_with_both,pareto_points,share_pareto_among_both,low_n_energy
v0.5,AD,4,1,1,1.0,True
v0.5,IC,4,1,1,1.0,True
v0.5,KWS,5,1,1,1.0,True
v0.5,VWW,4,1,1,1.0,True
v0.7,AD,12,6,3,0.5,False
v0.7,IC,11,6,3,0.5,False
v0.7,KWS,13,8,2,0.25,False
v0.7,VWW,11,6,3,0.5,False
v1.0,AD,14,8,2,0.25,False
v1.0,IC,15,10,2,0.2,False
v1.0,KWS,15,10,2,0.2,False
v1.0,VWW,15,10,2,0.2,False
v1.1,AD,23,8,3,0.375,False
v1.1,IC,30,11,2,0.18181818181818182,False
v1.1,KWS,30,11,2,0.18181818181818182,False
v1.1,VWW,28,11,2,0.18181818181818182,False
v1.2,AD,22,3,2,0.6666666666666666,True
v1.2,IC,20,5,2,0.4,False
v1.2,KWS,14,5,2,0.4,False
v1.2,VWW,17,5,2,0.4,False
v1.3,AD,6,3,2,0.6666666666666666,True
v1.3,IC,9,5,2,0.4,False
v1.3,KWS,9,5,2,0.4,False
v1.3,VWW,10,5,2,0.4,False
