round,task,cpu_freq_bucket,energy_uj_n,energy_uj_median,energy_uj_q10,energy_uj_q25,energy_uj_q75,energy_uj_q90,energy_uj_min,energy_uj_max,energy_uj_iqr,energy_uj_low_n
v0.5,AD,UNKNOWN,1,416.312,416.312,416.312,416.312,416.312,416.312,416.312,0.0,True
v0.5,IC,UNKNOWN,1,29207.0,29207.0,29207.0,29207.0,29207.0,29207.0,29207.0,0.0,True
v0.5,KWS,UNKNOWN,1,7373.7,7373.7,7373.7,7373.7,7373.7,7373.7,7373.7,0.0,True
v0.5,VWW,UNKNOWN,1,24320.8,24320.8,24320.8,24320.8,24320.8,24320.8,24320.8,0.0,True
v0.7,AD,UNKNOWN,6,336.55899999999997,99.141,195.442,410.66499999999996,434.326,45.722,437.442,215.22299999999996,False
v0.7,IC,UNKNOWN,6,11749.25,3199.575,5913.3975,13837.75,16037.349999999999,2248.02,17723.8,7924.3525,False
v0.7,KWS,UNKNOWN,8,2597.795,45.2967,471.01650000000006,3953.3900000000003,4486.58,35.286,4635.68,3482.3735,False
v0.7,VWW,UNKNOWN,6,11169.75,2876.37,5645.1525,12182.925,12804.849999999999,1721.77,13316.4,6537.772499999999,False
v1.0,AD,UNKNOWN,8,192.7995,6.6814,37.29775,353.02875,500.349,5.252,633.734,315.731,False
v1.0,IC,UNKNOWN,10,2438.325,39.0915,111.215,10188.02,20346.899999999998,27.711,21342.3,10076.805,False
v1.0,KWS,UNKNOWN,10,770.1955,25.8492,34.605,3209.25,5502.294,18.561,7950.51,3174.645,False
v1.0,VWW,UNKNOWN,10,2251.84,56.600500000000004,78.07249999999999,9544.567500000001,15691.419999999998,40.801,17131.6,9466.495,False
v1.1,AD,100-199,6,372.118,207.67899999999997,304.068,499.09999999999997,529.0999999999999,121.446,529.3,195.03199999999998,False
v1.1,AD,200-399,2,228.50850000000003,222.67530000000002,224.86275,232.15425000000002,234.3417,221.217,235.8,7.291500000000013,True
v1.1,IC,100-199,6,13805.8,5201.455,8435.3925,16718.149999999998,17535.25,3383.82,17755.4,8282.757499999998,False
v1.1,IC,200-399,3,7615.4,6571.632,6963.045,8043.25,8299.960000000001,6310.69,8471.1,1080.205,True
v1.1,IC,<100,2,120.6,105.5864,111.2165,129.9835,135.6136,101.833,139.367,18.766999999999996,True
v1.1,KWS,100-199,6,4101.375,1918.6799999999998,2988.5675,5298.175,5554.55,1004.22,5627.5,2309.6075,False
v1.1,KWS,200-399,3,2362.1,1967.924,2115.74,2364.785,2366.3959999999997,1869.38,2367.47,249.04500000000007,True
v1.1,KWS,<100,2,37.6695,32.7635,34.60325,40.735749999999996,42.5755,31.537,43.802,6.132499999999993,True
v1.1,VWW,100-199,6,8945.21,3769.46,6083.115,15005.425,16554.699999999997,1920.64,16573.1,8922.31,False
v1.1,VWW,200-399,3,6928.3,4345.14,5313.825,7369.5,7634.22,3699.35,7810.7,2055.675,True
v1.1,VWW,<100,2,84.4375,74.2563,78.07425,90.80075,94.6187,71.711,97.164,12.726499999999987,True
v1.2,AD,100-199,2,142.625,94.029,112.2525,172.9975,191.221,81.88,203.37,60.745000000000005,True
v1.2,AD,200-399,1,165.73,165.73,165.73,165.73,165.73,165.73,165.73,0.0,True
v1.2,IC,100-199,2,4749.175,3013.011,3664.0724999999998,5834.2775,6485.339,2578.97,6919.38,2170.2050000000004,True
v1.2,IC,200-399,1,5090.28,5090.28,5090.28,5090.28,5090.28,5090.28,5090.28,0.0,True
v1.2,IC,<100,2,120.6,105.584,111.215,129.985,135.616,101.83,139.37,18.77000000000001,True
v1.2,KWS,100-199,2,1238.305,772.5889999999999,947.2325,1529.3775,1704.0210000000002,656.16,1820.45,582.1450000000001,True
v1.2,KWS,200-399,1,1375.6,1375.6,1375.6,1375.6,1375.6,1375.6,1375.6,0.0,True
v1.2,KWS,<100,2,37.67,32.766,34.605,40.735,42.574,31.54,43.8,6.130000000000003,True
v1.2,VWW,100-199,2,2624.63,1608.678,1989.66,3259.6000000000004,3640.5820000000003,1354.69,3894.57,1269.9400000000003,True
v1.2,VWW,200-399,1,2965.46,2965.46,2965.46,2965.46,2965.46,2965.46,2965.46,0.0,True
v1.2,VWW,<100,2,84.435,74.255,78.07249999999999,90.7975,94.615,71.71,97.16,12.725000000000009,True
v1.3,AD,100-199,2,118.8297,85.55506,98.03305,139.62635,152.10434,77.2364,160.423,41.5933,True
v1.3,AD,<100,1,31.8347,31.8347,31.8347,31.8347,31.8347,31.8347,31.8347,0.0,True
v1.3,IC,100-199,2,4030.575,2858.307,3297.9075,4763.2425,5202.843,2565.24,5495.91,1465.3350000000005,True
v1.3,IC,<100,3,139.367,109.3398,120.6,552.4745,800.339,101.833,965.582,431.8745,True
v1.3,KWS,100-199,2,1047.547,741.0486,855.9855,1239.1085,1354.0454,664.424,1430.67,383.12300000000005,True
v1.3,KWS,<100,3,43.802,33.99,37.6695,144.57150000000001,205.03320000000002,31.537,245.341,106.90200000000002,True
v1.3,VWW,100-199,2,2200.96,1537.928,1786.565,2615.355,2863.992,1372.17,3029.75,828.79,True
v1.3,VWW,<100,3,97.164,76.8016,84.4375,308.07,434.6136,71.711,518.976,223.6325,True
