round,task,processor_family,energy_uj_n,energy_uj_median,energy_uj_q10,energy_uj_q25,energy_uj_q75,energy_uj_q90,energy_uj_min,energy_uj_max,energy_uj_iqr,energy_uj_low_n
v0.5,AD,Cortex-M,1,416.312,416.312,416.312,416.312,416.312,416.312,416.312,0.0,True
v0.5,IC,Cortex-M,1,29207.0,29207.0,29207.0,29207.0,29207.0,29207.0,29207.0,0.0,True
v0.5,KWS,Cortex-M,1,7373.7,7373.7,7373.7,7373.7,7373.7,7373.7,7373.7,0.0,True
v0.5,VWW,Cortex-M,1,24320.8,24320.8,24320.8,24320.8,24320.8,24320.8,24320.8,0.0,True
v0.7,AD,Cortex-M,5,324.088,88.4572,152.56,349.03,398.33799999999997,45.722,431.21,196.46999999999997,False
v0.7,AD,OTHER,1,437.442,437.442,437.442,437.442,437.442,437.442,437.442,0.0,True
v0.7,IC,Cortex-M,5,11200.2,3009.264,4151.13,12298.3,15553.6,2248.02,17723.8,8147.169999999999,False
v0.7,IC,OTHER,1,14350.9,14350.9,14350.9,14350.9,14350.9,14350.9,14350.9,0.0,True
v0.7,KWS,Cortex-M,5,3713.19,959.8558,1482.4,3796.96,4300.192,611.493,4635.68,2314.56,False
v0.7,KWS,OTHER,3,49.587,38.1462,42.4365,2236.1335000000004,3548.0614000000005,35.286,4422.68,2193.6970000000006,True
v0.7,VWW,Cortex-M,5,10487.7,2645.45,4030.97,11851.8,12116.699999999999,1721.77,12293.3,7820.83,False
v0.7,VWW,OTHER,1,13316.4,13316.4,13316.4,13316.4,13316.4,13316.4,13316.4,0.0,True
v1.0,AD,Cortex-M,6,294.7315,83.206,155.95625,413.13225,538.4590000000001,47.299,633.734,257.176,False
v1.0,AD,RISC-V,2,6.273,5.4562,5.762499999999999,6.7835,7.089799999999999,5.252,7.294,1.0210000000000008,True
v1.0,IC,Cortex-M,6,9694.44,2438.325,4908.32,17847.625,20789.3,1234.65,21342.3,12939.305,False
v1.0,IC,OTHER,2,120.6,105.584,111.215,129.985,135.616,101.83,139.37,18.77000000000001,True
v1.0,IC,RISC-V,2,34.033500000000004,28.9755,30.87225,37.19475,39.0915,27.711,40.356,6.322499999999998,True
v1.0,KWS,Cortex-M,6,3046.76,770.1955,1534.3425,4765.637500000001,6590.39,401.861,7950.51,3231.295000000001,False
v1.0,KWS,OTHER,2,37.67,32.766,34.605,40.735,42.574,31.54,43.8,6.130000000000003,True
v1.0,KWS,RISC-V,2,22.61,19.3708,20.5855,24.6345,25.8492,18.561,26.659,4.0489999999999995,True
v1.0,VWW,Cortex-M,6,9022.535,2251.84,4517.9625,14165.2,16331.5,1139.22,17131.6,9647.237500000001,False
v1.0,VWW,OTHER,2,84.435,74.255,78.07249999999999,90.7975,94.615,71.71,97.16,12.725000000000009,True
v1.0,VWW,RISC-V,2,49.578500000000005,42.5565,45.189750000000004,53.96725,56.600500000000004,40.801,58.356,8.777499999999996,True
v1.1,AD,Cortex-M,8,314.224,191.28570000000002,232.15425000000002,439.5,529.02,121.446,529.3,207.34574999999998,False
v1.1,IC,Cortex-M,9,8471.1,5725.316,7019.09,14927.3,17403.16,3383.82,17755.4,7908.209999999999,False
v1.1,IC,OTHER,2,120.6,105.5864,111.2165,129.9835,135.6136,101.833,139.367,18.766999999999996,True
v1.1,KWS,Cortex-M,9,2833.14,1696.3480000000002,2362.1,4747.9,5510.780000000001,1004.22,5627.5,2385.7999999999997,False
v1.1,KWS,OTHER,2,37.6695,32.7635,34.60325,40.735749999999996,42.5755,31.537,43.802,6.132499999999993,True
v1.1,VWW,Cortex-M,9,7477.62,3343.608,5618.28,10412.8,16543.66,1920.64,16573.1,4794.5199999999995,False
v1.1,VWW,OTHER,2,84.4375,74.2563,78.07425,90.80075,94.6187,71.711,97.164,12.726499999999987,True
v1.2,AD,Cortex-M,3,165.73,98.64999999999999,123.80499999999999,184.55,195.842,81.88,203.37,60.74500000000002,True
v1.2,IC,Cortex-M,3,5090.28,3081.232,3834.625,6004.83,6553.56,2578.97,6919.38,2170.205,True
v1.2,IC,OTHER,2,120.6,105.584,111.215,129.985,135.616,101.83,139.37,18.77000000000001,True
v1.2,KWS,Cortex-M,3,1375.6,800.048,1015.8799999999999,1598.025,1731.48,656.16,1820.45,582.1450000000002,True
v1.2,KWS,OTHER,2,37.67,32.766,34.605,40.735,42.574,31.54,43.8,6.130000000000003,True
v1.2,VWW,Cortex-M,3,2965.46,1676.844,2160.075,3430.0150000000003,3708.748,1354.69,3894.57,1269.9400000000005,True
v1.2,VWW,OTHER,2,84.435,74.255,78.07249999999999,90.7975,94.615,71.71,97.16,12.725000000000009,True
v1.3,AD,Cortex-M,3,77.2364,40.915040000000005,54.53555,118.8297,143.78568,31.8347,160.423,64.29415,True
v1.3,IC,Cortex-M,3,2565.24,1285.5136,1765.4109999999998,4030.575,4909.776,965.582,5495.91,2265.1639999999998,True
v1.3,IC,OTHER,2,120.6,105.5864,111.2165,129.9835,135.6136,101.833,139.367,18.766999999999996,True
v1.3,KWS,Cortex-M,3,664.424,329.1576,454.8825,1047.547,1277.4208,245.341,1430.67,592.6645000000001,True
v1.3,KWS,OTHER,2,37.6695,32.7635,34.60325,40.735749999999996,42.5755,31.537,43.802,6.132499999999993,True
v1.3,VWW,Cortex-M,3,1372.17,689.6148000000001,945.5730000000001,2200.96,2698.234,518.976,3029.75,1255.387,True
v1.3,VWW,OTHER,2,84.4375,74.2563,78.07425,90.80075,94.6187,71.711,97.164,12.726499999999987,True
