round,task,accelerator_present,latency_us_n,latency_us_median,latency_us_q10,latency_us_q25,latency_us_q75,latency_us_q90,latency_us_min,latency_us_max,latency_us_iqr,latency_us_low_n
v0.5,AD,False,4,5296.046,175.61190000000002,186.20625,11212.5,12675.0,168.549,13650.0,11026.29375,True
v0.5,IC,False,4,352768.675,1143.748,1252.135,837958.75,1078679.5,1071.49,1239160.0,836706.615,True
v0.5,KWS,False,4,91169.235,401.702,414.41,217845.25,282516.10000000003,393.23,325630.0,217430.84,True
v0.5,KWS,True,1,5950.0,5950.0,5950.0,5950.0,5950.0,5950.0,5950.0,0.0,True
v0.5,VWW,False,4,303440.735,2943.151,3458.9275000000002,664037.0,773658.8,2599.2999999999997,846740.0,660578.0725,True
v0.7,AD,False,8,5814.0,2364.3,4059.8549999999996,7238.4325,8887.110999999999,2281.0,9665.0,3178.5775000000003,False
v0.7,AD,True,4,8770.0,4486.0,5080.0,13297.5,15399.0,4090.0,16800.0,8217.5,True
v0.7,IC,False,8,193700.0,68784.09999999999,136186.0,247833.0,263751.6,65099.99999999999,289352.0,111647.0,False
v0.7,IC,True,3,239980.0,230148.0,233835.0,272335.0,291748.0,227690.0,304690.0,38500.0,True
v0.7,KWS,False,8,59206.0,21453.0,43501.125,75586.625,86586.34999999999,19500.0,97646.0,32085.5,False
v0.7,KWS,True,5,63090.0,2800.0,4300.0,68310.0,75234.0,1800.0,79850.0,64010.0,False
v0.7,VWW,False,8,181182.0,62879.00000000001,129815.0,227427.25,250350.4,59400.0,254647.0,97612.25,False
v0.7,VWW,True,3,225580.0,194068.0,205885.0,260980.0,282220.0,186190.0,296380.0,55095.0,True
v1.0,AD,False,10,5935.0,2252.0,4855.0,7352.5,8909.999999999998,1820.0,11700.0,2497.5,False
v1.0,AD,True,4,223.5,121.4,156.5,1560.75,3882.300000000001,98.0,5430.0,1404.25,True
v1.0,IC,False,10,183150.0,63754.0,115250.0,293800.0,389230.0,54340.0,389500.0,178550.0,False
v1.0,IC,True,5,5120.0,749.2,949.0,15970.0,78946.0,616.0,120930.0,15021.0,False
v1.0,KWS,False,10,66550.0,18866.0,37607.5,75837.5,104219.99999999999,16760.0,144000.0,38230.0,False
v1.0,KWS,True,5,1480.0,577.8,732.0,4370.0,23516.000000000004,475.0,36280.0,3638.0,False
v1.0,VWW,False,10,200550.0,56370.0,113602.5,231620.0,304730.0,50700.0,336500.0,118017.5,False
v1.0,VWW,True,5,4100.0,1368.2,1733.0,12700.0,72046.0,1125.0,111610.0,10967.0,False
v1.1,AD,False,23,4849.87,1703.85,1823.21,7600.0,8498.498000000001,1347.71,46546.3,5776.79,False
v1.1,IC,False,25,179019.0,52704.340000000004,62877.299999999996,298686.0,389376.0,46831.8,1669450.0,235808.7,False
v1.1,IC,True,5,3149.5899999999997,252.883,411.28,5100.0,11625.0,147.285,15975.0,4688.72,False
v1.1,KWS,False,25,54062.8,15771.92,18418.600000000002,82000.8,126336.12000000007,13861.7,679348.0,63582.2,False
v1.1,KWS,True,5,2151.05,794.3076000000001,1500.0,4211.22,4304.784,323.846,4367.16,2711.2200000000003,False
v1.1,VWW,False,23,108295.0,35995.76,53794.149999999994,209450.0,287337.20000000007,26816.8,1869160.0,155655.85,False
v1.1,VWW,True,5,4100.0,510.1232,720.308,9486.59,11428.196,370.0,12722.6,8766.282,False
v1.2,AD,False,21,4730.0,1080.0,1420.0,5840.0,7440.0,370.0,40890.0,4420.0,False
v1.2,AD,True,1,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,True
v1.2,IC,False,17,120540.0,37852.0,62550.0,180540.0,331668.0000000001,8480.0,1522070.0,117990.0,False
v1.2,IC,True,3,5120.0,1144.0,2635.0,10545.0,13800.0,150.0,15970.0,7910.0,True
v1.2,KWS,False,11,38580.0,11320.0,16825.0,57155.0,63650.0,3460.0,474610.0,40330.0,False
v1.2,KWS,True,3,1480.0,368.0,785.0,2925.0,3792.0,90.0,4370.0,2140.0,True
v1.2,VWW,False,13,88930.0,27792.000000000004,57250.0,154680.0,324598.0000000001,13390.0,1414430.0,97430.0,False
v1.2,VWW,True,4,2195.0,220.0,265.0,6255.0,10134.000000000002,190.0,12720.0,5990.0,True
v1.3,AD,False,5,3209.46,484.56820000000005,737.116,4793.68,5163.328,316.20300000000003,5409.76,4056.5640000000003,False
v1.3,AD,True,1,68.3762,68.3762,68.3762,68.3762,68.3762,68.3762,68.3762,0.0,True
v1.3,IC,False,5,109493.0,1499.4666,2282.79,165673.0,175738.0,977.251,182448.0,163390.21,False
v1.3,IC,True,4,10548.475,1603.65634,3865.41655,24501.9,39850.32000000001,95.81620000000001,50082.6,20636.48345,True
v1.3,KWS,False,5,28994.800000000003,903.5354,1394.1200000000001,43417.9,46348.479999999996,576.4789999999999,48302.2,42023.78,False
v1.3,KWS,True,4,2924.295,489.89505000000014,1127.310375,7408.1449999999995,12881.918000000001,64.9515,16531.1,6280.8346249999995,True
v1.3,VWW,False,5,59266.3,3089.232,4448.46,89437.4,95016.68,2183.08,98736.2,84988.93999999999,False
v1.3,VWW,True,5,4100.33,155.0372,216.221,12722.6,27395.54,114.248,37177.5,12506.379,False
